id,created_at,favorited,retweeted,user_name,user_id,mentions,hts,is_retweet,original_id,original_created_at,original_user_name,original_user_id,full_text,favorite_count,retweet_count
1233971023030210560,Sun Mar 01 04:23:12 +0000 2020,False,False,adra jimenez,486577498,ohsamaisalive,,True,1233965987315187713,Sun Mar 01 04:03:12 +0000 2020,GORILONA 💜,1011748417,"Argentinopla, día 82. Asesinatos sin freno, las soluciones no aparecen, la ministra de seguridad, ausente, sólo hace propaganda de Tecnópolis y un satélite, el presidente tuitea noticias fakes. Ni bolsillos con plata ni heladeras llenas #TucumanSeDesangra #Tucuman #ElPeorGobierno https://t.co/ScSy8KiPae",52,53
1233970795032010752,Sun Mar 01 04:22:18 +0000 2020,False,False,Claudia M,1025493784296079360,tamarakapitula SabinaFrederic,,True,1233603953570537474,Sat Feb 29 04:04:36 +0000 2020,Tamara Kap 🐱🖤,2620538902,"Te enteraste @SabinaFrederic ? Digo, porque después te leo hablar de satélites y de un Tecnópolis “reabierto” que jamás cerró https://t.co/ABDQ3xnwip",129,75
1233970468723576832,Sun Mar 01 04:21:00 +0000 2020,False,False,Cludy ✌️,832248068,,,False,1233970468723576832,Sun Mar 01 04:21:00 +0000 2020,Cludy ✌️,832248068,El parque de dinosaurios de Tecnópolis de noche está genial. https://t.co/rFjz26zuy3,1,0
1233970374032920576,Sun Mar 01 04:20:37 +0000 2020,False,False,Lauro,1226569135867518977,ohsamaisalive,,True,1233965987315187713,Sun Mar 01 04:03:12 +0000 2020,GORILONA 💜,1011748417,"Argentinopla, día 82. Asesinatos sin freno, las soluciones no aparecen, la ministra de seguridad, ausente, sólo hace propaganda de Tecnópolis y un satélite, el presidente tuitea noticias fakes. Ni bolsillos con plata ni heladeras llenas #TucumanSeDesangra #Tucuman #ElPeorGobierno https://t.co/ScSy8KiPae",52,53
1231190293791346688,Sat Feb 22 12:13:35 +0000 2020,False,False,Daiana Fernandez Molero,214896230,,ComunicanBien,False,1231190293791346688,Sat Feb 22 12:13:35 +0000 2020,Daiana Fernandez Molero,214896230,"Tecnopolis, remedios, jubilados, tierra arrasada, vacunas, tarjeta alimentaria con panfletos. Volvió fuerte el aparato de propaganda oficial que tanto se extrañaba. #ComunicanBien",11,5
1233970226615799810,Sun Mar 01 04:20:02 +0000 2020,False,False,Nora G,4135313171,daianamol,,True,1231190293791346688,Sat Feb 22 12:13:35 +0000 2020,Daiana Fernandez Molero,214896230,"Tecnopolis, remedios, jubilados, tierra arrasada, vacunas, tarjeta alimentaria con panfletos. Volvió fuerte el aparato de propaganda oficial que tanto se extrañaba. #ComunicanBien",11,5
1233969534668767232,Sun Mar 01 04:17:17 +0000 2020,False,False,Griselda,1097089105,CulturaNacionAR miss_bolivia,NosotrasMovemosElMundo,True,1233930775072059393,Sun Mar 01 01:43:16 +0000 2020,Cultura Nación,216106179,🎶🙋‍♀🎤 Mañana 1º de marzo a las 22 h @miss_bolivia cierra la primera jornada de #NosotrasMovemosElMundo con un show en el Escenario de las Banderas de #Tecnópolis. ¡Vení a cantar con todos!  #ArgentinaUnida https://t.co/w4crZaztum,43,19
1233968939727818752,Sun Mar 01 04:14:55 +0000 2020,False,False,💚claudia viviana abud💚,149916351,Viscurt sztajnszrajber,,True,1233908088920510465,Sun Mar 01 00:13:07 +0000 2020,Pablo Wittner,115131295,"La nave de la ciencia repleta, del lado de adentro y del lado de afuera,  viendo en vivo y en pantallas a @sztajnszrajber y @FelipePigna hablando de filosofía y de historia. Volvió Tecnópolis y resulta que había miles ansiosos por saber. https://t.co/g4w2r4ojbe",196,24
1233968768205905921,Sun Mar 01 04:14:15 +0000 2020,False,False,Loreto Pepa,1246281523,Viscurt sztajnszrajber,,True,1233908088920510465,Sun Mar 01 00:13:07 +0000 2020,Pablo Wittner,115131295,"La nave de la ciencia repleta, del lado de adentro y del lado de afuera,  viendo en vivo y en pantallas a @sztajnszrajber y @FelipePigna hablando de filosofía y de historia. Volvió Tecnópolis y resulta que había miles ansiosos por saber. https://t.co/g4w2r4ojbe",196,24
1233968289124159488,Sun Mar 01 04:12:20 +0000 2020,False,False,@calefonybiblia2,1183537518525997058,FelipePigna,,True,1233929478738411521,Sun Mar 01 01:38:07 +0000 2020,Felipe Pigna,79556841,Muchas gracias a toda la querida gente que nos acompañó esta noche en Tecnopolis https://t.co/jlseXT7OoF,430,46
